x, y
0.67639, 0.50709
0.67737, 0.51358
0.67786, 0.52224
0.67885, 0.5309
0.67983, 0.53955
0.68081, 0.54821
0.6813, 0.55687
0.68278, 0.56552
0.68327, 0.57418
0.68425, 0.58284
0.68524, 0.5915
0.68622, 0.60015
0.67442, 0.47246
0.67442, 0.46381
0.67393, 0.45515
0.67344, 0.44649
0.67344, 0.43783
0.67295, 0.42918
0.67147, 0.42052
0.67147, 0.41186
0.67049, 0.40321
0.67, 0.39455
0.41734, 0.23656
0.41931, 0.24305
0.42128, 0.25171
0.42324, 0.26037
0.42521, 0.26902
0.42718, 0.27768
0.42914, 0.28634
0.43111, 0.29283
0.43307, 0.29932
0.43504, 0.30798
0.43701, 0.31664
0.43897, 0.32313
0.44094, 0.33179
0.44241, 0.34044
0.44438, 0.3491
0.44635, 0.35343
0.44831, 0.35992
0.45028, 0.36641
0.45224, 0.37291
0.45421, 0.37724
0.45618, 0.38373
0.45814, 0.39022
0.46011, 0.39455
0.46208, 0.39671
0.46404, 0.39888
0.46601, 0.39888
0.46797, 0.39888
0.46994, 0.39888
0.47191, 0.39671
0.47387, 0.39671
0.47584, 0.39671
0.4778, 0.39671
0.47977, 0.39455
0.48174, 0.39022
0.4837, 0.38806
0.48567, 0.38373
0.48764, 0.3794
0.53581, 0.19544
0.53433, 0.20193
0.53237, 0.21059
0.5304, 0.21708
0.52843, 0.22574
0.52647, 0.2344
0.5245, 0.24305
0.52254, 0.24955
0.52057, 0.2582
0.5186, 0.26686
0.51664, 0.27335
0.51516, 0.28201
0.5132, 0.29067
0.51123, 0.29932
0.50926, 0.30582
0.41046, 0.19111
0.40948, 0.18246
0.40899, 0.1738
0.40751, 0.16514
0.40653, 0.15648
0.40555, 0.14783
0.40407, 0.13917
0.4026, 0.13051
0.40112, 0.12186
0.39965, 0.1132
0.39768, 0.10671
0.54416, 0.16731
0.54613, 0.16514
0.5481, 0.16298
0.55006, 0.15865
0.55203, 0.15432
0.55399, 0.14783
0.55596, 0.1435
0.55793, 0.14133
0.55989, 0.13484
0.56186, 0.13268
0.56382, 0.12835
0.56579, 0.12402
0.56776, 0.11969
0.56972, 0.11536
0.57169, 0.11753
0.57366, 0.10887
0.57562, 0.10671
0.57759, 0.10671
0.57955, 0.10454
0.58152, 0.10238
0.58349, 0.10021
0.58545, 0.10021
0.58742, 0.10021
0.58939, 0.09805
0.59135, 0.09805
0.59332, 0.09589
0.59528, 0.09589
0.59725, 0.09589
0.59922, 0.09589
0.60118, 0.09589
0.60315, 0.09805
0.60511, 0.09805
0.60708, 0.09805
0.60905, 0.09805
0.61101, 0.09805
0.61298, 0.09589
0.61495, 0.09589
0.61691, 0.09589
0.61888, 0.09589
0.62084, 0.09589
0.62281, 0.09589
0.62478, 0.09589
0.62674, 0.09589
0.62871, 0.09589
0.63067, 0.09589
0.63264, 0.09805
0.63461, 0.09805
0.63657, 0.10021
0.63854, 0.10238
0.64051, 0.10454
0.64247, 0.10887
0.64444, 0.1132
0.6464, 0.12186
0.64837, 0.13051
0.64985, 0.13917
0.65132, 0.14783
0.6523, 0.15648
0.65329, 0.16514
0.30134, 0.10021
0.30331, 0.10671
0.30527, 0.11104
0.30724, 0.11104
0.3092, 0.11104
0.31117, 0.10454
0.31314, 0.09805
0.3151, 0.09589
0.31707, 0.10454
0.31904, 0.11104
0.321, 0.11104
0.32297, 0.10887
0.32493, 0.10671
0.3269, 0.10238
0.32887, 0.10238
0.33083, 0.10238
0.3328, 0.10021
0.33477, 0.10021
0.33673, 0.10238
0.3387, 0.10238
0.34066, 0.10021
0.34263, 0.10021
0.3446, 0.10021
0.34656, 0.09805
0.34853, 0.09372
0.35049, 0.08939
0.35246, 0.08723
0.35443, 0.08723
0.35639, 0.08506
0.35836, 0.0829
0.36033, 0.08074
0.36229, 0.08074
0.36426, 0.07857
0.36622, 0.07857
0.36819, 0.07424
0.37016, 0.07424
0.37212, 0.07208
0.37409, 0.07208
0.37605, 0.07208
0.37802, 0.07208
0.37999, 0.07424
0.38195, 0.07424
0.38392, 0.07424
0.38589, 0.07424
0.38785, 0.07857
0.38982, 0.08074
0.3959, 0.09527
0.39276, 0.08758
0.41291, 0.2044
0.41463, 0.21559
0.41631, 0.22559
0.54192, 0.17773
0.53955, 0.18579
0.50659, 0.31637
0.50358, 0.32586
0.50113, 0.33705
0.49817, 0.34748
0.49543, 0.35572
0.49297, 0.3628
0.4904, 0.37232
0.65518, 0.17819
0.65681, 0.19162
0.65805, 0.20589
0.65893, 0.2206
0.66029, 0.23319
0.66091, 0.24812
0.66179, 0.2618
0.66318, 0.27387
0.66381, 0.28645
0.66457, 0.30029
0.66526, 0.31381
0.66603, 0.326
0.66716, 0.33849
0.66779, 0.3522
0.66839, 0.36521
0.66916, 0.38091
0.67631, 0.48216
0.67684, 0.49454
0.68834, 0.61262
0.69047, 0.62376
0.69233, 0.63561
0.69469, 0.6454
0.69683, 0.6552
0.69893, 0.66193
0.70077, 0.67168