x, y
0.29996,0.10567
0.30242,0.09271
0.30536,0.08407
0.30831,0.08623
0.31126,0.09487
0.3142,0.10567
0.31715,0.11215
0.3201,0.11215
0.32304,0.10783
0.32599,0.10135
0.32894,0.10135
0.33188,0.10135
0.33483,0.10351
0.33778,0.10135
0.34072,0.09919
0.34367,0.10135
0.34662,0.10567
0.34956,0.11215
0.35251,0.11431
0.35546,0.11647
0.3584,0.11647
0.36135,0.11647
0.3643,0.11863
0.36724,0.11647
0.37019,0.11647
0.37314,0.11215
0.37609,0.10999
0.37903,0.11215
0.38198,0.11215
0.38493,0.11431
0.38787,0.11647
0.39082,0.11647
0.39377,0.11647
0.39671,0.11215
0.39966,0.11215
0.40261,0.11215
0.40555,0.10999
0.4085,0.10999
0.41145,0.10999
0.41439,0.10783
0.41734,0.10567
0.42029,0.10567
0.42323,0.10351
0.42618,0.10351
0.42913,0.10351
0.43207,0.10135
0.43502,0.10135
0.43797,0.10135
0.44091,0.10135
0.44386,0.10135
0.44681,0.09919
0.44975,0.09919
0.4527,0.09703
0.45565,0.09703
0.4586,0.09703
0.46154,0.09703
0.46449,0.09703
0.46744,0.09703
0.47038,0.09703
0.47333,0.09487
0.47628,0.09487
0.47922,0.09271
0.48217,0.09271
0.48512,0.09055
0.48806,0.09055
0.49101,0.09055
0.49396,0.08839
0.4969,0.08623
0.49985,0.08623
0.5028,0.08623
0.50574,0.08623
0.50869,0.08623
0.51164,0.08623
0.51458,0.08623
0.51753,0.08407
0.52048,0.08407
0.52342,0.08407
0.52637,0.08407
0.52932,0.08407
0.53227,0.08407
0.53521,0.08407
0.53816,0.08407
0.54111,0.08407
0.54405,0.08407
0.547,0.08623
0.54995,0.08623
0.55289,0.08623
0.55584,0.09055
0.55879,0.09271
0.56173,0.09703
0.56468,0.10351
0.56763,0.10783
0.57057,0.11647
0.57352,0.12295
0.57647,0.13375
0.57941,0.14672
0.58217,0.15605
0.58443,0.16468
0.58629,0.1748
0.58825,0.18776
0.59071,0.20072
0.59267,0.21369
0.59513,0.22665
0.59709,0.23961
0.59906,0.25257
0.60102,0.26553
0.6025,0.2785
0.60397,0.29146
0.60648,0.30444
0.60822,0.31701
0.60996,0.32876
0.61134,0.33898
0.6133,0.35195
0.61478,0.36491
0.61674,0.37787
0.6187,0.39083
0.62067,0.40379
0.62214,0.41676
0.6246,0.42972
0.62688,0.4407
0.62922,0.45124
0.63112,0.46183
0.63317,0.47249
0.63491,0.48373
0.63786,0.49669
0.64031,0.50965
0.6427,0.522
0.64508,0.53573
0.64719,0.54625
0.64885,0.56104
0.65035,0.57246
0.65238,0.58618
0.65357,0.60038
0.65505,0.61334
0.65652,0.62631
0.65799,0.63927
0.65849,0.65223
0.66052,0.66065
0.66172,0.67069
0.66291,0.68463
0.66438,0.6976
0.66585,0.71056
0.66733,0.72352
0.6688,0.73648
0.67027,0.74944
0.67224,0.76241
0.6742,0.77537
0.67617,0.78833
0.67764,0.80129
0.6796,0.81425
0.68206,0.82722
0.68402,0.84018
0.68703,0.84746
0.69019,0.85756
0.69297,0.86528
0.69565,0.87252
0.69848,0.88079
0.70083,0.88712