Wavelength,Genuine Indian Yellow
0.36,0.050327611
0.37,0.048901367
0.38,0.048812918
0.39,0.048591795
0.4,0.048381728
0.41,0.048624964
0.42,0.04849229
0.43,0.048569683
0.44,0.048757637
0.45,0.048835031
0.46,0.049166715
0.47,0.049752691
0.48,0.051189991
0.49,0.0544405
0.5,0.064954903
0.51,0.095657841
0.52,0.169225487
0.53,0.292203084
0.54,0.444368926
0.55,0.574002328
0.56,0.654004655
0.57,0.694613907
0.58,0.728445738
0.59,0.758960722
0.6,0.777944137
0.61,0.794395694
0.62,0.813058481
0.63,0.831013675
0.64,0.850173989
0.65,0.867841722
0.66,0.877958103
0.67,0.883585685
0.68,0.886703521
0.69,0.89087169
0.7,0.895581612
0.71,0.903685772
0.72,0.912519639
0.73,0.922381728
0.74,0.936821065
0.75,0.95
0.76,0.95
0.77,0.95
0.78,0.95